iter	Passed	Remaining
408	5185	7493
409	5198	7480
410	5211	7468
411	5224	7456
412	5237	7444
413	5251	7432
414	5263	7420
415	5276	7407
416	5289	7395
417	5302	7382
418	5315	7370
419	5328	7358
420	5341	7345
421	5354	7333
422	5366	7319
423	5379	7307
424	5392	7296
425	5405	7282
426	5417	7270
427	5430	7257
428	5443	7245
429	5456	7232
430	5469	7220
431	5482	7207
432	5495	7195
433	5507	7182
434	5519	7169
435	5532	7156
436	5544	7143
437	5557	7131
438	5571	7119
439	5584	7107
440	5598	7096
441	5611	7084
442	5624	7071
443	5636	7058
444	5649	7046
445	5662	7034
446	5675	7021
447	5688	7009
448	5701	6996
449	5714	6984
450	5727	6971
451	5740	6959
452	5752	6946
453	5765	6933
454	5777	6920
455	5791	6908
456	5804	6896
457	5817	6884
458	5830	6872
459	5843	6859
460	5855	6846
461	5867	6833
462	5881	6821
463	5893	6808
464	5907	6796
465	5919	6783
466	5932	6770
467	5944	6757
468	5957	6745
469	5970	6732
470	5983	6720
471	5996	6707
472	6011	6697
473	6024	6684
474	6037	6672
475	6049	6660
476	6062	6647
477	6075	6634
478	6088	6622
479	6101	6609
480	6114	6597
481	6126	6584
482	6139	6571
483	6152	6559
484	6165	6547
485	6178	6534
486	6190	6521
487	6203	6508
488	6218	6498
489	6231	6485
490	6243	6472
491	6256	6459
492	6269	6447
493	6282	6434
494	6295	6422
495	6308	6410
496	6321	6398
497	6334	6385
498	6347	6373
499	6360	6360
500	6373	6348
501	6386	6335
502	6399	6322
503	6412	6310
504	6427	6300
505	6440	6287
506	6452	6274
507	6465	6262
508	6478	6249
509	6491	6236
510	6503	6223
511	6515	6210
512	6528	6197
513	6541	6184
514	6554	6172
515	6567	6160
516	6580	6147
517	6593	6135
518	6606	6122
519	6619	6110
520	6633	6098
521	6645	6085
522	6658	6072
523	6672	6060
524	6685	6048
525	6698	6036
526	6710	6023
527	6723	6010
528	6735	5997
529	6748	5984
530	6760	5971
531	6773	5958
532	6785	5945
533	6798	5932
534	6811	5920
535	6824	5907
536	6837	5895
537	6851	5883
538	6863	5870
539	6876	5858
540	6889	5845
541	6902	5832
542	6914	5819
543	6926	5806
544	6939	5793
545	6952	5780
546	6965	5768
547	6978	5755
548	6991	5743
549	7004	5730
550	7016	5717
551	7029	5705
552	7043	5693
553	7056	5680
554	7068	5667
555	7081	5654
556	7093	5641
557	7106	5629
558	7119	5616
559	7131	5603
560	7144	5590
561	7157	5578
562	7170	5565
563	7183	5553
564	7196	5540
565	7209	5528
566	7221	5515
567	7234	5502
568	7247	5490
569	7260	5477
570	7273	5464
571	7285	5451
572	7298	5438
573	7311	5426
574	7324	5413
575	7337	5401
576	7349	5388
577	7362	5375
578	7375	5362
579	7387	5349
580	7400	5337
581	7413	5324
582	7426	5311
583	7439	5299
584	7453	5287
585	7466	5274
586	7479	5262
587	7491	5249
588	7505	5236
589	7517	5224
590	7530	5211
591	7543	5199
592	7556	5186
593	7569	5173
594	7582	5161
595	7595	5148
596	7608	5136
597	7620	5123
598	7633	5110
599	7647	5098
600	7660	5085
601	7674	5073
602	7687	5061
603	7700	5048
604	7713	5035
605	7725	5022
606	7737	5009
607	7750	4996
608	7763	4984
609	7776	4971
610	7788	4958
611	7801	4946
612	7814	4933
613	7827	4920
614	7840	4907
615	7852	4895
616	7866	4882
617	7879	4870
618	7891	4857
619	7904	4844
620	7917	4832
621	7929	4818
622	7942	4806
623	7955	4793
624	7968	4780
625	7980	4768
626	7993	4755
627	8006	4742
628	8019	4730
629	8032	4717
630	8045	4704
631	8057	4691
632	8071	4679
633	8083	4666
634	8096	4654
635	8109	4641
636	8122	4628
637	8135	4615
638	8147	4603
639	8160	4590
640	8173	4577
641	8186	4564
642	8199	4552
643	8211	4539
644	8224	4526
645	8237	4514
646	8250	4501
647	8263	4488
648	8276	4476
649	8289	4463
650	8302	4451
651	8316	4438
652	8329	4426
653	8342	4413
654	8355	4400
655	8368	4388
656	8381	4375
657	8394	4363
658	8406	4349
659	8418	4337
660	8432	4324
661	8444	4311
662	8456	4298
663	8469	4285
664	8484	4274
665	8497	4261
666	8509	4248
667	8522	4235
668	8534	4222
669	8547	4210
670	8560	4197
671	8573	4184
672	8587	4172
673	8600	4159
674	8612	4146
675	8625	4134
676	8638	4121
677	8650	4108
678	8663	4095
679	8676	4083
680	8689	4070
681	8702	4057
682	8715	4045
683	8728	4032
684	8741	4019
685	8753	4006
686	8766	3993
687	8778	3981
688	8791	3968
689	8804	3955
690	8816	3942
691	8830	3930
692	8843	3917
693	8856	3904
694	8869	3892
695	8881	3879
696	8896	3867
697	8908	3854
698	8921	3841
699	8934	3828
700	8946	3816
701	8959	3803
702	8971	3790
703	8984	3777
704	8997	3765
705	9010	3752
706	9023	3739
707	9035	3726
708	9048	3713
709	9061	3701
710	9074	3688
711	9086	3675
712	9101	3663
713	9114	3650
714	9126	3637
715	9139	3624
716	9151	3612
717	9165	3599
718	9178	3587
719	9192	3574
720	9205	3562
721	9217	3549
722	9230	3536
723	9243	3523
724	9255	3510
725	9268	3497
726	9280	3485
727	9293	3472
728	9307	3459
729	9319	3447
730	9332	3434
731	9345	3421
732	9359	3409
733	9372	3396
734	9384	3383
735	9397	3370
736	9410	3358
737	9423	3345
738	9436	3332
739	9448	3319
740	9461	3307
741	9474	3294
742	9487	3281
743	9500	3268
744	9514	3256
745	9527	3244
746	9540	3231
747	9553	3218
748	9566	3205
749	9578	3192
750	9591	3180
751	9604	3167
752	9617	3154
753	9630	3142
754	9643	3129
755	9656	3116
756	9669	3104
757	9682	3091
758	9695	3078
759	9708	3065
760	9722	3053
761	9735	3040
762	9747	3027
763	9760	3015
764	9772	3002
765	9785	2989
766	9798	2976
767	9811	2963
768	9823	2950
769	9836	2938
770	9849	2925
771	9862	2912
772	9875	2900
773	9888	2887
774	9901	2874
775	9914	2861
776	9928	2849
777	9941	2836
778	9955	2824
779	9967	2811
780	9979	2798
781	9992	2785
782	10005	2772
783	10018	2760
784	10030	2747
785	10043	2734
786	10055	2721
787	10068	2708
788	10081	2696
789	10094	2683
790	10107	2670
791	10120	2657
792	10133	2645
793	10147	2632
794	10160	2620
795	10173	2607
796	10185	2594
797	10198	2581
798	10211	2568
799	10224	2556
800	10237	2543
801	10249	2530
802	10262	2517
803	10275	2505
804	10288	2492
805	10300	2479
806	10313	2466
807	10326	2453
808	10340	2441
809	10353	2428
810	10366	2415
811	10379	2403
812	10391	2390
813	10404	2377
814	10416	2364
815	10429	2351
816	10441	2338
817	10454	2326
818	10467	2313
819	10480	2300
820	10493	2287
821	10506	2275
822	10519	2262
823	10531	2249
824	10545	2236
825	10558	2224
826	10570	2211
827	10583	2198
828	10595	2185
829	10608	2172
830	10621	2160
831	10634	2147
832	10646	2134
833	10659	2121
834	10672	2108
835	10685	2096
836	10697	2083
837	10710	2070
838	10722	2057
839	10735	2044
840	10748	2032
841	10761	2019
842	10774	2006
843	10786	1993
844	10799	1980
845	10812	1968
846	10824	1955
847	10837	1942
848	10850	1929
849	10863	1917
850	10876	1904
851	10888	1891
852	10902	1878
853	10915	1866
854	10927	1853
855	10940	1840
856	10954	1827
857	10967	1815
858	10980	1802
859	10992	1789
860	11005	1776
861	11018	1763
862	11031	1751
863	11043	1738
864	11056	1725
865	11069	1712
866	11081	1699
867	11094	1687
868	11107	1674
869	11120	1661
870	11132	1648
871	11145	1635
872	11159	1623
873	11172	1610
874	11184	1597
875	11197	1585
876	11210	1572
877	11222	1559
878	11235	1546
879	11248	1533
880	11261	1521
881	11274	1508
882	11287	1495
883	11300	1482
884	11313	1470
885	11326	1457
886	11339	1444
887	11352	1431
888	11366	1419
889	11379	1406
890	11392	1393
891	11405	1380
892	11418	1368
893	11430	1355
894	11443	1342
895	11456	1329
896	11468	1316
897	11481	1304
898	11494	1291
899	11506	1278
900	11519	1265
901	11532	1252
902	11544	1240
903	11557	1227
904	11571	1214
905	11583	1201
906	11596	1189
907	11609	1176
908	11622	1163
909	11634	1150
910	11647	1137
911	11660	1125
912	11672	1112
913	11685	1099
914	11697	1086
915	11710	1073
916	11723	1061
917	11735	1048
918	11748	1035
919	11761	1022
920	11774	1009
921	11787	997
922	11800	984
923	11812	971
924	11825	958
925	11838	946
926	11851	933
927	11863	920
928	11876	907
929	11889	894
930	11902	882
931	11914	869
932	11927	856
933	11939	843
934	11952	830
935	11965	818
936	11979	805
937	11992	792
938	12005	779
939	12018	767
940	12030	754
941	12043	741
942	12055	728
943	12068	715
944	12080	703
945	12093	690
946	12106	677
947	12119	664
948	12132	651
949	12145	639
950	12158	626
951	12170	613
952	12184	600
953	12197	588
954	12210	575
955	12222	562
956	12236	549
957	12248	536
958	12261	524
959	12273	511
960	12286	498
961	12299	485
962	12312	473
963	12325	460
964	12338	447
965	12351	434
966	12363	421
967	12376	409
968	12391	396
969	12404	383
970	12416	370
971	12429	358
972	12443	345
973	12455	332
974	12467	319
975	12480	306
976	12494	294
977	12506	281
978	12519	268
979	12531	255
980	12544	242
981	12557	230
982	12570	217
983	12582	204
984	12596	191
985	12609	179
986	12621	166
987	12635	153
988	12648	140
989	12661	127
990	12674	115
991	12687	102
992	12700	89
993	12713	76
994	12725	63
995	12738	51
996	12751	38
997	12763	25
998	12775	12
999	12788	0
