iter	MultiClass
205	1.082264477
206	1.082201697
207	1.082132466
208	1.082117862
209	1.082073992
210	1.082057821
211	1.082014396
212	1.081990534
213	1.081948943
214	1.081878942
215	1.081801097
216	1.081744888
217	1.081696304
218	1.081674284
219	1.081615136
220	1.081560326
221	1.081508859
222	1.081439249
223	1.081365589
224	1.081331136
225	1.081310257
226	1.08128732
227	1.081261759
228	1.081215149
229	1.081143287
230	1.081077228
231	1.081035481
232	1.080976319
233	1.080926168
234	1.080883412
235	1.080843353
236	1.080817561
237	1.080771301
238	1.08075899
239	1.08072432
240	1.080683831
241	1.080662217
242	1.080648326
243	1.080583082
244	1.080499205
245	1.080452488
246	1.080408103
247	1.080368956
248	1.080336583
249	1.080310848
250	1.080253163
251	1.080223866
252	1.080188185
253	1.080134199
254	1.080097282
255	1.080067959
256	1.080026869
257	1.07998489
258	1.079944173
259	1.079895765
260	1.079850146
261	1.079841421
262	1.079764594
263	1.079745707
264	1.079686079
265	1.079630949
266	1.079613672
267	1.079585553
268	1.079545867
269	1.079476283
270	1.079455022
271	1.07939957
272	1.079357223
273	1.07933522
274	1.079295007
275	1.079256675
276	1.079232473
277	1.079208569
278	1.079176098
279	1.079141111
280	1.079101785
281	1.079077742
282	1.079037763
283	1.079022103
284	1.078978205
285	1.07895119
286	1.078915471
287	1.078863679
288	1.07885181
289	1.078840482
290	1.07880222
291	1.078769394
292	1.078745754
293	1.078730293
294	1.078698282
295	1.078650447
296	1.078609567
297	1.078591867
298	1.07855323
299	1.078531224
300	1.078505248
301	1.078483126
302	1.07845976
303	1.078446311
304	1.078423309
305	1.078395352
306	1.078363587
307	1.078332989
308	1.078302529
309	1.078267921
310	1.078230606
311	1.078186782
312	1.078154609
313	1.07811386
314	1.078093987
315	1.078065116
316	1.078054075
317	1.078017738
318	1.078003515
319	1.077976907
320	1.077953902
321	1.077920665
322	1.07789041
323	1.077876118
324	1.077855794
325	1.077846776
326	1.077824578
327	1.077799749
328	1.077761134
329	1.077723206
330	1.07766672
331	1.077634082
332	1.077613728
333	1.077581482
334	1.077528054
335	1.077496126
336	1.077460207
337	1.077430402
338	1.077416614
339	1.077385557
340	1.077346709
341	1.077317956
342	1.077308369
343	1.077279702
344	1.077230413
345	1.077191158
346	1.077150981
347	1.077127282
348	1.077104584
349	1.077094627
350	1.0770534
351	1.077045903
352	1.077022073
353	1.076998289
354	1.076978238
355	1.076966243
356	1.076954409
357	1.076919398
358	1.076908148
359	1.076873346
360	1.07685274
361	1.076827213
362	1.076800118
363	1.076786637
364	1.076775928
365	1.076769362
366	1.076746372
367	1.076732587
368	1.076682908
369	1.076634293
370	1.076630121
371	1.076602277
372	1.076567232
373	1.076515557
374	1.076500247
375	1.076473854
376	1.07645183
377	1.076397135
378	1.076366984
379	1.076323535
380	1.076271473
381	1.07626708
382	1.07622956
383	1.076212965
384	1.076191982
385	1.076166951
386	1.076153925
387	1.076133795
388	1.076102549
389	1.076044295
390	1.075992453
391	1.07597618
392	1.075963605
393	1.075934572
394	1.075925512
395	1.075906356
396	1.075864331
397	1.075822738
398	1.075802982
399	1.075788047
400	1.075779475
401	1.075763157
402	1.075754109
403	1.075743935
404	1.075731064
405	1.07572676
406	1.075706727
407	1.075684973
408	1.075670025
409	1.075642801
410	1.075622539
411	1.075602831
412	1.075581296
413	1.075546862
414	1.075525612
415	1.075515142
416	1.07550474
417	1.075489548
418	1.075461677
419	1.075441894
420	1.075436673
421	1.075424329
422	1.075416041
423	1.075376842
424	1.075364901
425	1.075357341
426	1.07535332
427	1.075344365
428	1.075293555
429	1.075269753
430	1.075255595
431	1.075237107
432	1.075222394
433	1.075219187
434	1.075210032
435	1.075198603
436	1.075187313
437	1.075163338
438	1.075123308
439	1.075107244
440	1.075063935
441	1.07504883
442	1.075045384
443	1.07504031
444	1.075011378
445	1.074987894
446	1.074955539
447	1.074941289
448	1.074913201
449	1.074878962
450	1.074865837
451	1.074832421
452	1.074819424
453	1.074800687
454	1.074783346
455	1.074756308
456	1.074735004
457	1.074714288
458	1.074689536
459	1.074670724
460	1.074646538
461	1.074637455
462	1.07458472
463	1.074564992
464	1.074543372
465	1.074533613
466	1.074516159
467	1.07450469
468	1.074491602
469	1.07448695
470	1.074434095
471	1.074426897
472	1.074404212
473	1.074389449
474	1.07437447
475	1.074357425
476	1.074323685
477	1.074300377
478	1.074285112
479	1.074271875
480	1.074253863
481	1.074234349
482	1.074221354
483	1.074194411
484	1.074178141
485	1.074169801
486	1.074163149
487	1.074125641
488	1.074118822
489	1.074105676
490	1.074072727
491	1.074055426
492	1.074021111
493	1.073998859
494	1.073980097
495	1.073946963
496	1.073908147
497	1.073879221
498	1.073857369
499	1.073835129
500	1.073830773
501	1.073784571
502	1.073775976
503	1.073733938
504	1.073713463
505	1.0737058
506	1.073682127
507	1.07366998
508	1.073633395
509	1.073618244
510	1.073612872
511	1.073606197
512	1.073597571
513	1.073590165
514	1.073555945
515	1.073546922
516	1.073542621
517	1.073529647
518	1.073501088
519	1.07347865
520	1.073471687
521	1.073464172
522	1.073445328
523	1.073423949
524	1.073415763
525	1.073412689
526	1.073388686
527	1.073375394
528	1.07335152
529	1.073340158
530	1.073330984
531	1.073291458
532	1.073276928
533	1.07325735
534	1.073247709
535	1.073240468
536	1.073212908
537	1.073172254
538	1.073166698
539	1.073152697
540	1.073121278
541	1.073116825
542	1.073098477
543	1.073088018
544	1.073063086
545	1.073043591
546	1.073027161
547	1.073010858
548	1.073007016
549	1.072979109
550	1.072968969
551	1.072927025
552	1.072914966
553	1.072907126
554	1.072898004
555	1.072887333
556	1.072879049
557	1.072867785
558	1.072855091
559	1.072841535
560	1.072827005
561	1.07281592
562	1.072799816
563	1.072790337
564	1.072763716
565	1.072741508
566	1.072734483
567	1.072715712
568	1.072707322
569	1.072696699
570	1.072691813
571	1.072679438
572	1.072670146
573	1.072652287
574	1.072614914
575	1.072590476
576	1.072571289
577	1.072565005
578	1.072559528
579	1.072540281
580	1.072535604
581	1.072521458
582	1.072493486
583	1.072484359
584	1.072480211
585	1.072457697
586	1.072444971
587	1.072443663
588	1.07242704
589	1.072420266
590	1.072416749
591	1.072375733
592	1.07236894
593	1.072352032
594	1.072349253
595	1.072330114
596	1.072308321
597	1.072304738
598	1.072290995
599	1.072255233
600	1.072244682
601	1.072227884
602	1.072220853
603	1.072209642
604	1.072202189
605	1.072194967
606	1.072185731
607	1.072184867
608	1.072170227
609	1.072142755
610	1.07213297
611	1.072124569
612	1.07209323
613	1.072078345
614	1.072066626
615	1.072063955
616	1.072050351
617	1.072027782
618	1.072019159
619	1.072000337
620	1.071983988
621	1.071978572
622	1.071969688
623	1.071952077
624	1.071947597
625	1.0719384
626	1.071915256
627	1.071897898
628	1.071866555
629	1.071862912
630	1.071841239
631	1.071838227
632	1.071826321
633	1.071817041
634	1.071808612
635	1.071756204
636	1.071742648
637	1.071742332
638	1.071730198
639	1.071720712
640	1.071703622
641	1.071696981
642	1.071694315
643	1.071687428
644	1.07166983
645	1.0716566
646	1.071653307
647	1.071650894
648	1.071643119
649	1.071625352
650	1.071611076
651	1.071596062
652	1.071582694
653	1.071571287
654	1.071565653
655	1.0715568
656	1.071550929
657	1.071526031
658	1.07151988
659	1.071517064
660	1.071506616
661	1.071505009
662	1.071496106
663	1.07147903
664	1.071460217
665	1.071445183
666	1.071437807
667	1.071413441
668	1.071409891
669	1.071382791
670	1.071363599
671	1.071334483
672	1.071326278
673	1.071310396
674	1.071292848
675	1.071283085
676	1.07126792
677	1.071259543
678	1.071234382
679	1.071227896
680	1.071220996
681	1.071218335
682	1.071189534
683	1.071174203
684	1.071156046
685	1.071135905
686	1.071124024
687	1.071120764
688	1.071111957
689	1.071105175
690	1.071094748
691	1.071073742
692	1.071058533
693	1.071050244
694	1.071035503
695	1.071028578
696	1.07101725
697	1.07101118
698	1.071004702
699	1.070989364
700	1.070973907
701	1.07096174
702	1.07095017
703	1.070942417
704	1.070925155
705	1.070915834
706	1.070906833
707	1.070901266
708	1.070890385
709	1.070882032
710	1.070878155
711	1.070875533
712	1.070856011
713	1.070849924
714	1.070843237
715	1.070835833
716	1.070825416
717	1.070806056
718	1.070795834
719	1.070772238
720	1.070746717
721	1.070741566
722	1.070733698
723	1.070731399
724	1.070723899
725	1.070703379
726	1.070693607
727	1.070671819
728	1.07065457
729	1.070644916
730	1.070628624
731	1.070618274
732	1.070602932
733	1.070591639
734	1.070582034
735	1.070572493
736	1.070558513
737	1.070557724
738	1.070548802
739	1.070534284
740	1.070512735
741	1.070508998
742	1.070471585
743	1.070460917
744	1.070448182
745	1.070444805
746	1.07043878
747	1.070428163
748	1.070403677
749	1.070402384
750	1.070384708
751	1.070370026
752	1.070357961
753	1.070350318
754	1.070341734
755	1.07032055
756	1.070312042
757	1.070286551
758	1.070280739
759	1.070278401
760	1.070270594
761	1.070252714
762	1.070244571
763	1.070230184
764	1.070227133
765	1.070211639
766	1.070203547
767	1.070185848
768	1.070183514
769	1.070166506
770	1.070163189
771	1.070156032
772	1.070139737
773	1.070129534
774	1.070107706
775	1.070101307
776	1.070094483
777	1.070063886
778	1.070048272
779	1.070045305
780	1.070042681
781	1.070038347
782	1.070030449
783	1.070023597
784	1.070012167
785	1.070008079
786	1.069997639
787	1.06998171
788	1.069970796
789	1.06996161
790	1.069954314
791	1.069946924
792	1.069935133
793	1.069919932
794	1.06991192
795	1.069903575
796	1.069896698
797	1.069891779
798	1.069865773
799	1.069858977
800	1.069840468
801	1.069838014
802	1.069826948
803	1.069814539
804	1.069791452
805	1.069786922
806	1.069780887
807	1.069750025
808	1.06973808
809	1.069734382
810	1.069727894
811	1.069719538
812	1.069711167
813	1.069704749
814	1.069700846
815	1.069684736
816	1.069681692
817	1.069680357
818	1.069672225
819	1.069665137
820	1.069654061
821	1.069647088
822	1.069624586
823	1.069606161
824	1.069602615
825	1.06959018
826	1.069575705
827	1.069574169
828	1.06956842
829	1.069559992
830	1.069550286
831	1.069546698
832	1.069542882
833	1.069515205
834	1.069504009
835	1.069490757
836	1.06948938
837	1.069481747
838	1.069463042
839	1.069455359
840	1.069453188
841	1.069448419
842	1.069433887
843	1.069429248
844	1.069427848
845	1.06941753
846	1.069416224
847	1.069409773
848	1.069404496
849	1.06938681
850	1.069360661
851	1.069354322
852	1.069333301
853	1.069331187
854	1.069326225
855	1.069317925
856	1.069306929
857	1.06927884
858	1.069270802
859	1.069257816
860	1.069249046
861	1.069236822
862	1.06922509
863	1.069219752
864	1.069213853
865	1.06919858
866	1.069192704
867	1.069177481
868	1.069156133
869	1.069154626
870	1.069149189
871	1.069143208
872	1.069133461
873	1.069112618
874	1.069106748
875	1.069105255
876	1.069103561
877	1.069102278
878	1.069093679
879	1.069089878
880	1.069074268
881	1.069063443
882	1.069057493
883	1.069040898
884	1.069029544
885	1.068996932
886	1.068990808
887	1.068990001
888	1.068985535
889	1.068975546
890	1.068963622
891	1.068934141
892	1.068928341
893	1.06892654
894	1.068915581
895	1.068907602
896	1.068904143
897	1.068899521
898	1.068885816
899	1.068884811
900	1.068884362
901	1.068879993
902	1.06887564
903	1.068874754
904	1.068873719
905	1.068870531
906	1.068857899
907	1.068854169
908	1.068840747
909	1.068828196
910	1.068821631
911	1.068820013
912	1.068816665
913	1.068811593
914	1.068809434
915	1.068786968
916	1.068782371
917	1.06877152
918	1.068753595
919	1.068749356
920	1.068748098
921	1.068743229
922	1.06873656
923	1.068727864
924	1.068726707
925	1.068722818
926	1.068701716
927	1.068694762
928	1.06869054
929	1.068679751
930	1.068671585
931	1.068665199
932	1.068663321
933	1.068651033
934	1.068649587
935	1.068640558
936	1.068639424
937	1.068636014
938	1.068628532
939	1.068622278
940	1.068606691
941	1.068604025
942	1.068601916
943	1.068592153
944	1.068589624
945	1.068576915
946	1.068568788
947	1.068563869
948	1.06855713
949	1.068555054
950	1.06853868
951	1.068533383
952	1.068519064
953	1.068502179
954	1.068497606
955	1.068494819
956	1.068480114
957	1.068462111
958	1.068456948
959	1.068450157
960	1.068445317
961	1.068441938
962	1.068436941
963	1.068432756
964	1.068425505
965	1.068420822
966	1.068416805
967	1.068412067
968	1.068409976
969	1.068401457
970	1.068398176
971	1.068380263
972	1.068371287
973	1.068354223
974	1.068352833
975	1.068348481
976	1.068340942
977	1.06833457
978	1.068331431
979	1.068324552
980	1.068321846
981	1.068319109
982	1.06831511
983	1.068308801
984	1.068302488
985	1.068299766
986	1.068297413
987	1.068291395
988	1.068270425
989	1.068241083
990	1.068228095
991	1.068227185
992	1.068217938
993	1.06820502
994	1.068202347
995	1.068191213
996	1.068186067
997	1.068185205
998	1.068182248
999	1.068178902
